핵심 강좌,Core class
우리 딸이에요.,My daughter.
우리 아들이에요.,My son.
저희 딸이에요.,My daughter.
저희 어머니세요.,My mother.
저희 아버지세요.,My father.
제 자전거예요.,It's my bike.
제 침대예요.,It's my bed.
제 차예요.,It's my car.
제 고양이예요.,It's my cat.
. 계속,.  continue
저희 가족이에요.,It's my family.
저희 아버지세요.,My father.
저희 어머니세요.,My mother.
제 여동생이에요.,I'm my sister.
제 남동생이에요.,I'm my younger brother.
제 남동생은 달려요.,My younger brother runs.
저희 형은 사과를 먹어요.,My brother eats an apple.
제 여동생은 놀아요.,My sister plays.
저희 누나는 책을 읽어요.,My sister reads a book.
제 남동생은 주스를 마셔요.,My younger brother drinks juice.
저희 오빠는 편지를 써요.,My brother writes a letter.
제 여동생은 걸어요.,My sister walks.
저희 언니는 요리를 해요.,My sister cooks.
저희 형이에요.,I'm my brother.
제 남동생이에요.,I'm my younger brother.
저희 누나예요.,I'm my sister.
제 여동생이에요.,I'm my sister.
저희 오빠예요.,It's my brother.
제 남동생이에요.,I'm my younger brother.
저희 언니예요.,My sister.
제 여동생이에요.,I'm my sister.
저희 언니예요.,My sister.
제 친구예요.,I'm my friend.
제 남동생이에요.,I'm my younger brother.
제 친구예요.,I'm my friend.
저희 언니들이에요.,My sisters.
제 남동생들이에요.,My younger brothers.
제 남동생들이 아니에요. 제 친구들이에요.,I'm not my younger brother.  I'm my friends.
제 언니들이 아니에요. 제 친구들이에요.,I'm not my sisters.  I'm my friends.
제 친구예요.,I'm my friend.
제 친구들이에요.,I'm my friends.
제 남동생이에요.,I'm my younger brother.
제 남동생들이에요.,My younger brothers.
제 여동생이에요.,I'm my sister.
제 여동생들이에요.,My sisters.
저희 어머니세요.,My mother.
저희 부모님이세요.,My parents.
저희 아기예요.,It's my baby.
저희 아이들이에요.,My children.
저희 어머니세요.,My mother.
저희 아들들이에요.,My sons.
저희 누나예요.,I'm my sister.
저희 부모님이세요.,My parents.
저희 아들이에요.,My son.
저희 아들이에요.,My son.
저희 어머니세요.,My mother.
저희 어머니세요.,My mother.
저희 아이들이에요.,My children.
저희 부모님이세요.,My parents.
남자아이의 자전거가 커요.,The boy's bike is big.
여자아이의 자전거가 작아요.,The girl's bicycle is small.
여자들의 자전거가 녹색이에요.,Women's bicycles are green.
제 자전거가 파란색이에요.,My bike is blue.
저희 자전거가 검은색이에요.,Our bike is black.
저희 의사세요?,Are you our doctor?
네.,yes.
저희 선생님이세요?,Are you my teacher?
네.,yes.
저희는 아들 두 명이 있어요.,We have two sons.
저희는 딸 네 명이 있어요.,We have four daughters.
저희는 아들 한 명하고 딸 세 명이 있어요.,We have one son and three daughters.
칠,seven
펜 일곱 개,Seven pen
아기 일곱 명,Seven babies
팔,eight
의자 여덟 개,Eight chairs
남자 여덟 명,Eight men
구,nine
사람들 아홉 명,Nine people
모자 아홉 개,Nine hats
십,ten
접시 열 개,Ten
아이들 열 명,Ten children
십일,eleven
꽃 열한 송이,Flower elevated
십이,twelve
열쇠 열두 개,Twelve
육,six
칠,seven
팔,eight
구,nine
십,ten
십일,eleven
십이,twelve
영,zero
삼, 이, 일, 영,Sam, Lee, work, young
육, 칠, 팔, 구, 십,Six, seven, arms, spheres, ten
육, 팔, 십, 십이,Meat, arm, twenty, twelve
십일, 영, 구, 오,Tithing, Young, Gu, Oh
여자아이가 한 살이에요.,The girl is one year old.
여자아이가 두 살이에요.,The girl is two years old.
여자아이가 세 살이에요.,The girl is three years old.
여자아이가 네 살이에요.,The girl is four years old.
여자아이가 다섯 살이에요.,The girl is five years old.
여자아이가 여섯 살이에요.,The girl is six years old.
여자아이가 일곱 살이에요.,The girl is seven years old.
여자아이가 여덟 살이에요.,The girl is eight years old.
남자아이가 몇 살이에요?,How old is the boy?
여섯 살이에요.,I'm six years old.
여자아이가 몇 살이에요?,How old are the girls?
일곱 살이에요.,I'm seven years old.
몇 살이에요?,How old are you?
다섯 살이에요.,I'm five years old.
몇 살이에요?,How old are you?
네 살이에요.,I'm four years old.
몇 살이에요?,How old are you?
열 살이에요.,I'm ten years old.
남자아이가 몇 살이에요?,How old is the boy?
열두 살이에요.,I'm twelve years old.
몇 살이에요?,How old are you?
다섯 살이에요.,I'm five years old.
여자아이가 몇 살이에요?,How old are the girls?
아홉 살이에요.,I'm nine years old.
자요?,sleep?
아니요.,no.
뭐 해요?,what are you doing?
책을 읽어요.,Read a book.
책을 읽으세요?,read books?
아니요.,no.
뭐 하세요?,What are you doing?
편지를 써요.,write a letter.
. 핵심 강좌,.  Core class
아파트,apartment
아파트,apartment
아파트,apartment
집,House
집,House
문,door
텔레비전,television
텔레비전,television
텔레비전,television
라디오,radio
라디오,radio
컴퓨터,computer
컴퓨터,computer
컴퓨터,computer
컴퓨터,computer
노트북 컴퓨터,Notebook computer
노트북 컴퓨터,Notebook computer
컴퓨터들,Computers
아파트,apartment
문,door
집,House
컴퓨터,computer
텔레비전,television
라디오,radio
노트북 컴퓨터가 탁자 위에 있어요.,A laptop computer is on the table.
라디오가 의자 위에 있어요.,The radio is on the chair.
고양이가 텔레비전 위에 있어요.,Cats are on television.
사과가 노트북 컴퓨터 위에 있어요.,Apple is on a laptop computer.
컴퓨터가 차 안에 있어요.,The computer is in the car.
열쇠가 신발 안에 있어요.,The key is in the shoes.
고양이가 모자 안에 있어요.,The cat is in the hat.
남자가 차 안에 있어요.,The man is in the car.
남자가 차 위에 있어요.,The man is on the car.
고양이가 집 안에 있어요.,The cat is in the house.
고양이가 집 위에 있어요.,The cat is on the house.
창문,window
창문,window
창문,window
변기,toilet
변기,toilet
싱크대,sink
거실,Livingroom
거실,Livingroom
거실,Livingroom
주방,kitchen
주방,kitchen
욕실,bathroom
거실,Livingroom
욕실,bathroom
주방,kitchen
창문,window
변기,toilet
싱크대,sink
사과가 그릇 안에 있어요.,The apple is in a bowl.
그릇이 탁자 위에 있어요.,The bowl is on the table.
탁자가 주방 안에 있어요.,The table is in the kitchen.
주방이 집 안에 있어요.,The kitchen is in the house.
남자아이가 집 안에 있어요.,The boy is in the house.
여자아이가 아파트 안에 있어요.,The girl is in the apartment.
가족이 집 안에 있어요.,The family is in the house.
여자가 아파트 안에 있어요.,The woman is in the apartment.
문이 커요.,The door is big.
문이 작아요.,The door is small.
창문이 커요.,The window is big.
창문이 작아요.,The window is small.
남자가 주방 안에 있어요.,The man is in the kitchen.
고양이가 방 안에 있어요.,The cat is in the room.
가족이 주방 안에 있어요.,The family is in the kitchen.
노트북 컴퓨터가 방 안에 있어요.,The laptop computer is in the room.
주방이 녹색이에요.,The kitchen is green.
방이 녹색이에요.,The room is green.
욕실이 녹색이에요.,The bathroom is green.
거실이 녹색이에요.,The living room is green.
집이 녹색이에요.,The house is green.
여자아이하고 할머니가 주방 안에 있어요.,The girl and grandmother are in the kitchen.
남자아이하고 할아버지가 욕실 안에 있어요.,Boy and grandfather are in the bathroom.
여자아이하고 할아버지가 책을 읽어요.,Girl and grandfather read a book.
남자아이하고 할머니가 요리를 해요.,Boy and grandmother cook.
아버지가 아들을 안아요.,My father hugs my son.
어머니가 딸을 안아요.,My mother hugs her daughter.
남편이 아내한테 뽀뽀해요.,My husband kisses my wife.
여동생이 오빠한테 뽀뽀해요.,My sister kisses her brother.
여자아이가 할머니를 안아요.,The girl hugs her grandmother.
아버지가 아들한테 뽀뽀해요.,My father kisses my son.
저는 언니를 안아요.,I hug my sister.
할머니가 할아버지한테 뽀뽀해요.,My grandmother kisses her grandfather.
저는 어머니를 사랑해요.,I love my mother.
저는 남동생을 사랑해요.,I love my younger brother.
저는 여동생을 사랑해요.,I love my sister.
저는 할아버지를 사랑해요.,I love my grandfather.
아내가 남편을 사랑해요.,My wife loves her husband.
부모님이 아이들을 사랑해요.,My parents love children.
남자아이가 할아버지를 사랑해요.,The boy loves his grandfather.
여자아이가 개를 사랑해요.,The girl loves dogs.
언니가 여동생을 안아요.,My sister hugs her sister.
할아버지하고 할머니가 뽀뽀해요.,Grandpa and grandmother kiss.
아이들이 어머니를 사랑해요.,Children love their mothers.
저는 아기를 사랑해요.,I love baby.
고양이가 탁자 밑에 있어요.,The cat is under the table.
개가 셔츠 밑에 있어요.,The dog is under the shirt.
남자아이들이 침대 밑에 있어요.,Boys are under the bed.
고양이가 탁자 위에 있어요.,The cat is on the table.
고양이가 탁자 밑에 있어요.,The cat is under the table.
저는 침대 위에 있어요.,I am on the bed.
저는 침대 밑에 있어요.,I am under the bed.
남자가 차 위에 있어요.,The man is on the car.
남자가 차 안에 있어요.,The man is in the car.
남자가 차 밑에 있어요.,The man is under the car.
여자아이가 침대 위에 있어요.,The girl is on the bed.
여자아이가 침대 밑에 있어요.,The girl is under the bed.
남자가 차 위에 있어요.,The man is on the car.
남자가 차 밑에 있어요.,The man is under the car.
남자아이들이 텔레비전을 봐요.,Boys look at television.
아이가 라디오를 들어요.,The child listens to the radio.
고양이가 물고기를 봐요.,The cat looks at the fish.
사람들이 라디오를 들어요.,People listen to the radio.
남자가 라디오를 들어요.,The man listens to the radio.
여자아이가 라디오를 들어요.,The girl listens to the radio.
부모님이 아이들을 봐요.,My parents look at the children.
남자아이하고 여자아이가 물고기를 봐요.,The boy and the girl look at the fish.
남자가 서 있어요.,The man stands.
남자아이가 앉아 있어요.,The boy is sitting.
여자가 서 있어요.,The woman is standing.
여자아이가 앉아 있어요.,The girl is sitting.
어머니가 주방에 앉아 있어요.,My mother is sitting in the kitchen.
딸이 거실에 앉아 있어요.,My daughter is sitting in the living room.
아들이 거실에 서 있어요.,My son stands in the living room.
아버지가 주방에 서 있어요.,My father stands in the kitchen.
남자가 서 있어요.,The man stands.
남자가 앉아 있어요.,A man is sitting.
여자가 서 있어요.,The woman is standing.
여자가 앉아 있어요.,A woman is sitting.
. 계속,.  continue
이게 선생님 책이에요?,Is this a teacher's book?
네. 제 책이에요.,yes.  It's my book.
이게 선생님 모자예요?,Is this a teacher's hat?
아니요. 제 모자가 아니에요.,no.  It's not my hat.
이게 선생님 펜이에요?,Is this a teacher's pen?
네, 제 펜이에요.,Yes, it's my pen.
제 신문이 어디에 있어요?,Where is my newspaper?
선생님 신문은 탁자 위에 있어요.,The teacher's newspaper is on the table.
신발이 어디에 있어요?,Where are the shoes?
침대 밑에 있어요.,It's under the bed.
신문이 어디에 있어요?,Where is the newspaper?
침대 위에 있어요.,It's on the bed.
찻잔이 어디에 있어요?,Where is the teacup?
싱크대 안에 있어요.,It's in the sink.
접시가 어디에 있어요?,Where is the plate?
싱크대 안에 있어요.,It's in the sink.
. 핵심 강좌,.  Core class
저는 아파트에 살아요.,I live in an apartment.
저는 집에 살아요.,I live at home.
우리는 아파트에 살아요.,We live in an apartment.
저희는 집에 살아요.,We live at home.
저는 집에 살아요.,I live at home.
여자는 아파트에 살아요.,A woman lives in an apartment.
가족은 집에 살아요.,The family lives at home.
저희는 아파트에 살아요.,We live in an apartment.
어디에 사세요?,Where do you live?
이 아파트에 살아요.,I live in this apartment.
어디에 사세요?,Where do you live?
이 아파트에 살아요.,I live in this apartment.
로마,Rome
로마,Rome
로마,Rome
파리,Paris
파리,Paris
모스크바,Moscow
어디에 사세요?,Where do you live?
모스크바에 살아요.,I live in Moscow.
어디에 사세요?,Where do you live?
파리에 살아요.,I live in Paris.
어디에 사세요?,Where do you live?
로마에 살아요.,I live in Rome.
어디에 사세요?,Where do you live?
모스크바에 살아요.,I live in Moscow.
어디에 사세요?,Where do you live?
파리에 살아요.,I live in Paris.
나라,country
나라,country
나라,country
도시,city
도시,city
다리,Bridge
공원,Park
공원,Park
공원,Park
길,road
길,road
다리,Bridge
나라,country
도시,city
길,road
공원,Park
다리,Bridge
여자아이가 다리 위에 앉아 있어요.,The girl is sitting on the leg.
남자가 길에 서 있어요.,The man stands on the road.
여자아이들이 다리 위에 서 있어요.,Girls are standing on the legs.
여자가 공원에 앉아 있어요.,The woman is sitting in the park.
이 길은 파리에 있어요.,This road is in Paris.
이 도시는 프랑스에 있어요.,The city is in France.
이 다리는 뉴욕에 있어요.,This bridge is in New York.
이 도시는 미국에 있어요.,The city is in the United States.
이 사람들은 프랑스 사람이에요.,These people are French.
이 남자는 프랑스 사람이에요.,This man is a French.
이 여자는 프랑스 사람이에요.,This woman is a French.
이 아이들은 미국 사람이에요.,These children are American.
이 남자는 미국 사람이에요.,This man is American.
이 여자는 미국 사람이에요.,This woman is American.
저희는 한국 사람이에요.,We are Korean.
저는 한국 사람이에요.,I am Korean.
이 남자는 한국 사람이에요.,This man is Korean.
중국,china
중국,china
중국,china
러시아,Russia
러시아,Russia
이집트,Egypt
어느 나라 사람이세요?,What country are you from?
저는 미국 사람이에요.,I am American.
어느 나라 사람이세요?,What country are you from?
저는 이집트 사람이에요.,I am an Egyptian.
어느 나라 사람이세요?,What country are you from?
저희는 프랑스 사람이에요.,We are French.
어느 나라 사람이에요?,where are you from?
저희는 중국 사람이에요.,We are Chinese.
남자아이가 집 가까이에 있어요.,The boy is near the house.
여자아이가 집에서 멀리 있어요.,The girl is far from home.
개가 집 가까이에 있어요.,The dog is near the house.
말이 집에서 멀리 있어요.,The horse is far from home.
저희 집은 길 가까이에 있어요.,My house is near the road.
저희 집은 길에서 멀리 있어요.,My house is far from the road.
의자는 문 가까이에 있어요.,The chair is near the door.
의자는 문에서 멀리 있어요.,The chair is far from the door.
저는 나무 가까이에 있어요.,I am near the tree.
저는 나무에서 멀리 있어요.,I am far from the tree.
저는 다리 가까이에 있어요.,I'm near my legs.
저는 다리에서 멀리 있어요.,I am far from my legs.
브라질,brazil
브라질,brazil
브라질,brazil
일본,japan
일본,japan
이탈리아,Italy
이 나라의 이름은 이탈리아예요.,The name of this country is Italy.
이 나라의 이름은 일본이에요.,The name of this country is Japan.
이 나라의 이름은 이집트예요.,The name of this country is Egypt.
이 나라의 이름은 러시아예요.,The name of this country is Russia.
일본은 중국 가까이에 있어요.,Japan is near China.
일본은 브라질에서 멀리 있어요.,Japan is far from Brazil.
이탈리아는 프랑스 가까이에 있어요.,Italy is near France.
이탈리아는 브라질에서 멀리 있어요.,Italy is far from Brazil.
. 계속,.  continue
저는 의사예요.,I am a doctor.
제 이름은 낸시 윌슨이에요.,My name is Nancy Wilson.
저는 경찰관이에요.,I'm a police officer.
제 이름은 존 클라크예요.,My name is John Clark.
저는 선생님이에요.,I am a teacher.
제 이름은 수 심슨이에요.,My name is Susan.
저는 러시아 사람이에요.,I am a Russian.
제 이름은 빅토르 포포브예요.,My name is Victor Poporb.
저희 아버지세요. 성함은 마이크 스미스예요.,My father.  The name is Mike Smith.
저희 어머니세요. 성함은 앤 스미스예요.,My mother.  The name is Anne Smith.
제 이름은 세라 스미스예요.,My name is Sarah Smith.
안녕하세요? 성함이 어떻게 되세요?,hello?  What's your name?
제 이름은 박민호예요.,My name is Park Min -ho.
성함이 어떻게 되세요?,What's your name?
제 이름은 김진아예요.,My name is Kim Jin -ah.
이분은 박민호 씨예요.,This is Park Min -ho.
만나서 반갑습니다.,Nice to meet you.
저분은 김진아 씨예요.,He is Kim Jin -ah.
만나서 반갑습니다.,Nice to meet you.
이거 진아 씨 책이에요?,Is this Jina's book?
네, 제 책이에요.,Yes, it's my book.
이거 민호 씨 펜이에요?,Is this Minho Pen?
아니요, 제 펜이 아니에요. 진아 씨 펜이에요.,No, it's not my pen.  It's Jina Pen.
민호 씨, 제 열쇠가 어디에 있어요?,Minho, where is my key?
진아 씨 열쇠는 차에 있어요.,Jina's key is in the car.
진아 씨, 제 코트가 어디에 있어요?,Jina, where is my coat?
민호 씨 코트는 의자 위에 있어요.,Minho's coat is on the chair.
안녕하세요? 성함이 어떻게 되세요?,hello?  What's your name?
제 이름은 존스예요.,My name is Jones.
만나서 반갑습니다.,Nice to meet you.
성함이 어떻게 되세요?,What's your name?
제 이름은 마이크 스미스예요.,My name is Mike Smith.
만나서 반갑습니다.,Nice to meet you.
성함이 어떻게 되세요?,What's your name?
존스예요.,Jones.
만나서 반갑습니다.,Nice to meet you.
안녕하세요?,hello?
이름이 뭐예요?,What's your name?
제 이름은 바비 존스예요.,My name is Bobby Jones.
만나서 반갑습니다.,Nice to meet you.
안녕히 가세요.,goodbye.
안녕하세요? 제 이름은 빅토르예요.,hello?  My name is Victor.
안녕하세요? 제 이름은 린이에요.,hello?  My name is Lin.
안녕하세요? 제 이름은 이사벨라예요.,hello?  My name is Isabella.
안녕하세요? 제 이름은 피에르예요.,hello?  My name is Pierre.
저는 러시아 모스크바에 살아요.,I live in Moscow, Russia.
저는 중국 베이징에 살아요.,I live in Beijing, China.
저는 이탈리아 로마에 살아요.,I live in Rome, Italy.
저는 프랑스 파리에 살아요.,I live in Paris, France.
제 방이에요.,It's my room.
저희 주방이에요.,It's my kitchen.
제 방이에요.,It's my room.
저희 주방이에요.,It's my kitchen.
저분은 저희 어머니세요. 어머니의 성함은 메,He is my mother.  Mother's name is me
이예요.,This is.
저 아이는 제 남동생이에요. 남동생의 이름은,That child is my younger brother.  The name of the younger brother is
블라디미르예요. 방에서 자고 있어요.,It's Vladimir.  I'm sleeping in the room.
저분은 저희 아버지세요. 아버지의 성함은 베,He is my father.  My father's name is
르트랑이에요.,It's Lertrang.
저 아이는 제 여동생이에요. 여동생의 이름은,That child is my sister.  Her sister's name is
줄리아예요. 공원에서 놀고 있어요.,It's Julia.  I'm playing in the park.
. 핵심 강좌,.  Core class
스웨터,sweater
스웨터,sweater
스웨터,sweater
청바지,Blue jeans
청바지,Blue jeans
허리띠,waist belt
정장,suit
정장,suit
정장,suit
양말,Amount - say
양말,Amount - say
넥타이,necktie
스웨터,sweater
넥타이,necktie
정장,suit
양말,Amount - say
허리띠,waist belt
청바지,Blue jeans
제 양말이 회색이에요.,My socks are gray.
남자아이의 양말이 보라색이에요.,The boy's socks are purple.
제 스웨터가 보라색이에요.,My sweater is purple.
남자의 스웨터가 회색이에요.,The men's sweater is gray.
키 큰 남자가 넥타이를 했어요.,A tall man did a tie.
키 작은 남자가 스웨터를 입었어요.,A short man wears a sweater.
키 큰 여자가 청바지를 입었어요.,A tall woman wore jeans.
키 작은 여자가 티셔츠를 입었어요.,A short woman wears a T -shirt.
키 큰 남자가 검은색 정장을 입었어요.,A tall man wore a black suit.
키 작은 남자가 검은색 정장을 입었어요.,A short man wears a black suit.
키 큰 여자가 회색 정장을 입었어요.,A tall woman wore a gray suit.
키 작은 여자가 회색 정장을 입었어요.,A short woman wore a gray suit.
제 원피스가 분홍색이에요.,My dress is pink.
제 신발이 갈색이에요.,My shoes are brown.
제 허리띠가 분홍색이에요.,My belt is pink.
제 넥타이가 갈색이에요.,My tie is brown.
여자의 바지가 파란색이에요.,The woman's pants are blue.
여자아이의 티셔츠가 주황색이에요.,The girl's t -shirt is orange.
여자의 코트가 파란색이에요.,The woman's coat is blue.
여자아이의 원피스가 주황색이에요.,The girl's dress is orange.
회색,gray
보라색,purple
분홍색,pink
갈색,Brown
주황색,Orange
파란색,blue
노란색,yellow
녹색,green
제 머리가 갈색이에요.,My head is brown.
남자아이의 머리가 갈색이에요.,The boy's head is brown.
저희 머리가 금발이에요.,Our hair is blonde.
사람들의 머리가 금발이에요.,People's head is blonde.
제 머리가 빨간색이에요.,My hair is red.
여러분의 머리가 빨간색이에요.,Your hair is red.
저는 키가 커요.,I'm tall.
제 머리가 갈색이에요.,My head is brown.
저는 키가 작아요.,I'm short.
제 머리가 빨간색이에요.,My hair is red.
여자의 머리가 검은색이에요.,The woman's head is black.
남자의 머리가 빨간색이에요.,The man's head is red.
여자의 머리가 갈색이에요.,The woman's head is brown.
남자의 머리가 금발이에요.,The man's head is blonde.
이분의 스웨터가 무슨 색이에요?,What color is this sweater?
파란색이에요.,It's blue.
선생님의 정장이 무슨 색이에요?,What color is your suit?
회색이에요.,It's gray.
남자아이의 머리가 무슨 색이에요?,What color is the boy's head?
갈색이에요.,Brown.
. 계속,.  continue
여자의 머리가 무슨 색이에요?,What color is a woman's head?
금발이에요.,It's blonde.
여자들의 머리가 무슨 색이에요?,What color is women's heads?
검은색이에요.,It's black.
머리가 무슨 색이에요?,What color is your head?
빨간색이에요.,It's red.
제 모자가 파란색이에요.,My hat is blue.
제 넥타이가 주황색이에요.,My tie is orange.
제 허리띠가 갈색이에요.,My belt is brown.
제 스웨터가 보라색이에요.,My sweater is purple.
허리띠가 분홍색이에요.,The belt is pink.
집이 갈색이에요.,The house is brown.
집이 분홍색이에요.,The house is pink.
허리띠가 갈색이에요.,The belt is brown.
여자아이가 추워요.,The girl is cold.
남자아이가 더워요.,The boy is hot.
남자가 추워요.,The man is cold.
여자가 더워요.,The woman is hot.
남자는 배가 고파요.,The man is hungry.
남자아이는 목이 말라요.,The boy is thirsty.
여자는 배가 고파요.,The woman is hungry.
여자아이는 목이 말라요.,The girl is thirsty.
배가 고파요.,Hungry.
목이 말라요.,I'm thirsty.
더워요.,It's hot.
추워요.,It's cold.
목이 마르세요?,Are you thirsty?
네. 목이 말라요.,yes.  I'm thirsty.
추우세요?,Are you cold?
아니요. 안 추워요.,no.  It's not cold.
배가 고프세요?,Are you hungry?
아니요. 배가 안 고파요.,no.  I'm not hungry.
더워요?,It's hot?
네. 더워요.,yes.  It's hot.
추우세요?,Are you cold?
네, 추워요.,Yes, it's cold.
목이 마르세요?,Are you thirsty?
아니요, 목이 안 말라요.,No, I can't be thirsty.
더우세요?,Are you more right?
아니요, 안 더워요.,No, it's not hot.
배가 고파요?,Hungry?
네. 배가 고파요.,yes.  Hungry.
남자아이가 피곤해요.,The boy is tired.
여자아이가 아파요.,The girl hurts.
남자가 아파요.,The man hurts.
여자가 피곤해요.,The woman is tired.
아파요.,sick.
피곤해요.,I'm tired.
추워요.,It's cold.
배가 고파요.,Hungry.
아프세요?,Are you sick?
아니요. 괜찮아요.,no.  it's okay
피곤하세요?,Are you tired?
아니요. 괜찮아요.,no.  it's okay
아프세요?,Are you sick?
네, 아파요.,Yes, it hurts.
어떻게 지내세요?,how are you doing?
잘 지내요.,I'm doing great.
피곤하세요?,Are you tired?
네, 피곤해요.,Yes, I'm tired.
어떻게 지내세요?,how are you doing?
잘 지내요.,I'm doing great.
안녕하세요?,hello?
어떻게 지내세요?,how are you doing?
잘 지내요.,I'm doing great.
안녕하세요?,hello?
어떻게 지내세요?,how are you doing?
잘 지내요.,I'm doing great.
안녕하세요? 어떻게 지내세요?,hello?  how are you doing?
잘 지내요.,I'm doing great.
안녕히 가세요.,goodbye.
안녕히 계세요.,good bye.
안녕하세요? 어떻게 지내세요?,hello?  how are you doing?
잘 지내요.,I'm doing great.
안녕히 계세요.,good bye.
안녕하세요? 어떻게 지내세요?,hello?  how are you doing?
잘 지내요.,I'm doing great.
안녕히 가세요.,goodbye.
저희 어머니세요.,My mother.
저희 아버지세요.,My father.
저희 할머니세요.,My grandmother.
저희 할아버지세요.,My grandfather.
엄마,Mom
저희 엄마세요.,My mom.
딸,daughter
저희 딸이에요.,My daughter.
아빠,Dad
저희 아빠세요.,My dad.
아들,son
저희 아들이에요.,My son.
저희 엄마세요.,My mom.
저희 어머니세요.,My mother.
저희 아빠세요.,My dad.
저희 아버지세요.,My father.
. 이정표,.  milestone
안녕하세요?,hello?
안녕하세요?,hello?
안녕하세요?,hello?
안녕하세요?,hello?
성함이 어떻게 되세요?,What's your name?
제 이름은 파울로 리마예요.,My name is Paulo Lima.
성함이 어떻게 되세요?,What's your name?
제 이름은 페이치 유예요.,My name is Payyyu.
만나서 반갑습니다.,Nice to meet you.
만나서 반갑습니다.,Nice to meet you.
남동생이에요?,Are you younger brother?
네. 남동생이에요.,yes.  I am a younger brother.
이름이 뭐예요?,What's your name?
제 이름은 페이리예요.,My name is Payiri.
몇 살이에요?,How old are you?
아홉 살이에요.,I'm nine years old.
만나서 반갑습니다.,Nice to meet you.
만나서 반갑습니다.,Nice to meet you.
어느 나라 사람이세요?,What country are you from?
중국 사람이에요.,I'm Chinese.
어느 나라 사람이세요?,What country are you from?
브라질 사람이에요.,I'm a Brazilian.
배가 고프세요?,Are you hungry?
아니요. 배가 안 고파요.,no.  I'm not hungry.
배가 고파요?,Hungry?
네. 배가 고파요.,yes.  Hungry.
안녕히 가세요.,goodbye.
안녕히 가세요.,goodbye.
이게 페이치 씨 책이에요?,Is this a book of Mr. Pachi?
네, 제 책이에요.,Yes, it's my book.
. 계속,.  continue
페이치 씨 가족이세요?,Are you a family of Payci?
네, 저희 가족이에요.,Yes, my family.
가족이 어디에 사세요?,Where do the family live?
가족은 베이징 가까이에 살아요.,The family lives near Beijing.
목이 마르세요?,Are you thirsty?
네, 목이 말라요.,Yes, dry thirst.
. 핵심 강좌,.  Core class
여자들이 일을 해요.,Women are working.
남자아이들이 놀아요.,Boys play.
남자가 일을 해요.,The man works.
여자아이가 놀아요.,The girl is playing.
학교,school
병원,hospital
식당,Restaurant
공원,Park
의사가 병원에서 일을 해요.,The doctor works in the hospital.
남자들이 공원에서 일을 해요.,Men work in the park.
여자들이 식당에서 일을 해요.,Women work in a restaurant.
선생님이 학교에서 일을 해요.,The teacher works at school.
저는 공원에서 놀아요.,I play in the park.
저는 학교에서 놀아요.,I play at school.
저는 병원에서 일을 해요.,I work in the hospital.
저는 학교에서 일을 해요.,I work at school.
가족이 안에서 밥을 먹어요.,The family eats inside.
남자하고 여자가 밖에서 샌드위치를 먹어요.,A man and a woman eats a sandwich outside.
남자가 안에서 달려요.,The man runs inside.
여자가 밖에서 달려요.,The woman runs outside.
남자가 안에서 일을 해요.,The man works inside.
남자들이 밖에서 일을 해요.,Men are working outside.
여자들이 안에서 일을 해요.,Women work inside.
여자가 밖에서 일을 해요.,The woman works outside.
아침,morning
오후,afternoon
저녁,dinner
밤,night
아침,morning
오후,afternoon
저녁,dinner
밤,night
아침이에요.,It's morning.
오후예요.,It's afternoon.
저녁이에요.,It's dinner.
밤이에요.,It's night.
아침이에요. 아이들이 아침을 먹어요.,It's morning.  The children eat breakfast.
오후예요. 남자들이 점심을 먹어요.,It's afternoon.  Men have lunch.
저녁이에요. 가족이 저녁을 먹어요.,It's dinner.  The family eats dinner.
가족이 안에서 아침을 먹어요.,The family eats breakfast inside.
가족이 밖에서 아침을 먹어요.,The family eats breakfast outside.
여자가 안에서 점심을 먹어요.,The woman eats lunch inside.
여자가 밖에서 점심을 먹어요.,The woman eats lunch outside.
저희는 안에서 아침을 먹어요.,We have breakfast inside.
저희는 밖에서 저녁을 먹어요.,We have dinner outside.
저희는 밖에서 아침을 먹어요.,We have breakfast outside.
저희는 안에서 저녁을 먹어요.,We have dinner inside.
남자가 아침에 일을 해요.,The man works in the morning.
남자가 밤에 일을 해요.,The man works at night.
아이들이 오후에 놀아요.,The children play in the afternoon.
여자가 저녁에 텔레비전을 봐요.,A woman looks at television in the evening.
어디에서 일을 하세요?,Where do you work?
저는 공원에서 일을 해요.,I work in the park.
저는 병원에서 일을 해요.,I work in the hospital.
저는 학교에서 일을 해요.,I work at school.
저는 식당에서 일을 해요.,I work in a restaurant.
언제 일을 하세요?,When do you work?
저는 아침에 일을 해요.,I work in the morning.
언제 일을 하세요?,When do you work?
저는 오후에 일을 해요.,I work in the afternoon.
언제 일을 하세요?,When do you work?
저는 밤에 일을 해요.,I work at night.
어디에서 커피를 마시세요?,Where do you drink coffee?
저는 카페에서 커피를 마셔요.,I drink coffee at a cafe.
언제 커피를 마시세요?,When do you drink coffee?
저는 아침에 커피를 마셔요.,I drink coffee in the morning.
언제 커피를 마시세요?,When do you drink coffee?
저는 저녁에 커피를 마셔요.,I drink coffee in the evening.
남자가 신발하고 양말을 신었어요.,The man shoes and wore socks.
남자가 신발을 신었어요. 하지만 양말은 안,The man wore shoes.  But the socks are not
신었어요.,I wore it.
저는 정장이 있어요. 그리고 넥타이가 있어,I have a suit.  And there is a tie
요.,yo. this.
